question,answer
What is your return policy?,You can return any item within 30 days of purchase.
How can I track my order?,Use the tracking link sent to your registration email.
Do you offer international shipping?,"Yes, we ship worldwide to over 150 countries."
Can I cancel my subscription?,"Yes, you can cancel anytime from your account settings."
How do I reset my password?,Click on 'Forgot Password' on the login page and follow the steps.
What are your working hours?,We are available Monday to Friday from 9am to 6pm.
How do I contact support?,"Email us at support@example.com or call 1800-XXX-XXXX."
What payment methods do you accept?,"We accept Visa, Mastercard, American Express, PayPal, and Apple Pay."
Can I change my shipping address after placing an order?,Address changes can only be made within 1 hour of placing the order by contacting support.
Do you offer gift wrapping?,Yes you can select the gift wrapping option during checkout for a small fee.
How long does shipping take?,"Standard shipping takes 3-5 business days, while express shipping takes 1-2 business days."
What should I do if my item is damaged?,Please contact support with photos of the damaged item within 48 hours of delivery to request a replacement.
Can I combine multiple discount codes?,Only one discount or promo code can be applied per order.
Do you have a physical store?,We are an online-only store and do not have any physical retail locations.
How do I check the status of my refund?,"Refunds are processed within 5-7 business days after we receive your returned package. You will receive an email confirmation."
Is my personal information secure?,Yes we use industry-standard SSL encryption to protect your data during checkout.
What happens if an item is out of stock?,You can sign up on the product page to receive an email notification when it is back in stock.
Do you offer price matching?,We do not offer price matching with other retailers at this time.
Can I order by phone?,Currently we only accept orders placed directly through our website.
Do you charge sales tax?,Sales tax is calculated and charged based on the shipping address destination at checkout.
